country,region,global_south,gadm_name
Afghanistan,Asia & Pacific,Global South,AFG
Algeria,Arab States,Global South,DZA
American Samoa,Asia & Pacific,Global South,ASM
Angola,Africa,Global South,AGO
Anguilla,South/Latin America,Global South,AIA
Antarctica,Asia & Pacific,Global South,ATA
Antigua and Barbuda,South/Latin America,Global South,ATG
Argentina,South/Latin America,Global South,ARG
Armenia,Europe,Global South,ARM
Aruba,South/Latin America,Global South,ABW
Azerbaijan,Asia & Pacific,Global South,AZE
Bahamas,South/Latin America,Global South,BHS
Bahrain,Arab States,Global South,BHR
Bangladesh,Asia & Pacific,Global South,BGD
Barbados,South/Latin America,Global South,BRB
Belarus,Europe,Global South,BLR
Belize,South/Latin America,Global South,BLZ
Benin,Africa,Global South,BEN
Bhutan,Asia & Pacific,Global South,BTN
Bolivia,South/Latin America,Global South,BOL
Botswana,Africa,Global South,BWA
Bouvet Island,South/Latin America,Global South,BVT
Brazil,South/Latin America,Global South,BRA
British Indian Ocean Territory,Asia & Pacific,Global South,IOT
Brunei Darussalam,Asia & Pacific,Global South,BRN
Burkina Faso,Africa,Global South,BFA
Burundi,Africa,Global South,BDI
Cambodia,Asia & Pacific,Global South,KHM
Cameroon,Africa,Global South,CMR
Cape Verde,Africa,Global South,CPV
Cayman Islands,South/Latin America,Global South,CYM
Central African Republic,Africa,Global South,CAF
Chad,Africa,Global South,TCD
Chile,South/Latin America,Global South,CHL
China,Asia & Pacific,Global South,CHN
Christmas Island,Asia & Pacific,Global South,CXR
Cocos (Keeling) Islands,Asia & Pacific,Global South,CCK
Colombia,South/Latin America,Global South,COL
Comoros,Arab States,Global South,COM
Congo,Africa,Global South,COG
"Congo, The Democratic Republic of the",Africa,Global South,COD
Cook Islands,Asia & Pacific,Global South,COK
Costa Rica,South/Latin America,Global South,CRI
Côte D'Ivoire,Africa,Global South,CIV
Cuba,South/Latin America,Global South,CUB
Djibouti,Arab States,Global South,DJI
Dominica,South/Latin America,Global South,DMA
Dominican Republic,South/Latin America,Global South,DOM
Ecuador,South/Latin America,Global South,ECU
Egypt,Arab States,Global South,EGY
El Salvador,South/Latin America,Global South,SLV
Equatorial Guinea,Africa,Global South,GNQ
Eritrea,Africa,Global South,ERI
Ethiopia,Africa,Global South,ETH
Falkland Islands (Malvinas),South/Latin America,Global South,FLK
Fiji,Asia & Pacific,Global South,FJI
French Guiana,South/Latin America,Global South,GUF
French Polynesia,Asia & Pacific,Global South,PYF
French Southern Territories,Asia & Pacific,Global South,ATF
Gabon,Africa,Global South,GAB
Gambia,Africa,Global South,GMB
Georgia,Europe,Global South,GEO
Ghana,Africa,Global South,GHA
Grenada,South/Latin America,Global South,GRD
Guadeloupe,South/Latin America,Global South,GLP
Guam,Asia & Pacific,Global South,GUM
Guatemala,South/Latin America,Global South,GTM
Guinea,Africa,Global South,GIN
Guinea-Bissau,Africa,Global South,GNB
Guyana,South/Latin America,Global South,GUY
Haiti,South/Latin America,Global South,HTI
Heard Island and McDonald Islands,Asia & Pacific,Global South,HMD
Honduras,South/Latin America,Global South,HND
India,Asia & Pacific,Global South,IND
Indonesia,Asia & Pacific,Global South,IDN
"Iran, Islamic Republic of",Asia & Pacific,Global South,IRN
Iraq,Arab States,Global South,IRQ
Jamaica,South/Latin America,Global South,JAM
Jordan,Arab States,Global South,JOR
Kazakhstan,Asia & Pacific,Global South,KAZ
Kenya,Africa,Global South,KEN
Kiribati,Asia & Pacific,Global South,KIR
"Korea, Democratic People's Republic of",Asia & Pacific,Global South,PRK
Kuwait,Arab States,Global South,KWT
Kyrgyzstan,Asia & Pacific,Global South,KGZ
Lao People's Democratic Republic,Asia & Pacific,Global South,LAO
Lebanon,Arab States,Global South,LBN
Lesotho,Africa,Global South,LSO
Liberia,Africa,Global South,LBR
Libya,Arab States,Global South,LBY
Madagascar,Africa,Global South,MDG
Malawi,Africa,Global South,MWI
Malaysia,Asia & Pacific,Global South,MYS
Maldives,Asia & Pacific,Global South,MDV
Mali,Africa,Global South,MLI
Marshall Islands,Asia & Pacific,Global South,MHL
Martinique,South/Latin America,Global South,MTQ
Mauritania,Arab States,Global South,MRT
Mauritius,Africa,Global South,MUS
Mayotte,Africa,Global South,MYT
Mexico,South/Latin America,Global South,MEX
"Micronesia, Federated States of",Asia & Pacific,Global South,FSM
Mongolia,Asia & Pacific,Global South,MNG
Montserrat,South/Latin America,Global South,MSR
Morocco,Arab States,Global South,MAR
Mozambique,Africa,Global South,MOZ
Myanmar,Asia & Pacific,Global South,MMR
Namibia,Africa,Global South,NAM
Nauru,Asia & Pacific,Global South,NRU
Nepal,Asia & Pacific,Global South,NPL
Netherlands Antilles,South/Latin America,Global South,
New Caledonia,Asia & Pacific,Global South,NCL
Nicaragua,South/Latin America,Global South,NIC
Niger,Africa,Global South,NER
Nigeria,Africa,Global South,NGA
Niue,Asia & Pacific,Global South,NIU
Norfolk Island,Asia & Pacific,Global South,NFK
Northern Mariana Islands,Asia & Pacific,Global South,MNP
Oman,Arab States,Global South,OMN
Pakistan,Asia & Pacific,Global South,PAK
Palau,Asia & Pacific,Global South,PLW
Palestinian Territory,Arab States,Global South,PSE
Panama,South/Latin America,Global South,PAN
Papua New Guinea,Asia & Pacific,Global South,PNG
Paraguay,South/Latin America,Global South,PRY
Peru,South/Latin America,Global South,PER
Philippines,Asia & Pacific,Global South,PHL
Pitcairn Islands,Asia & Pacific,Global South,PCN
Puerto Rico,South/Latin America,Global South,PRI
Qatar,Arab States,Global South,QAT
Reunion,Asia & Pacific,Global South,REU
Rwanda,Africa,Global South,RWA
Saint Barthelemy,South/Latin America,Global South,BLM
Saint Helena,Africa,Global South,SHN
Saint Kitts and Nevis,South/Latin America,Global South,KNA
Saint Lucia,South/Latin America,Global South,LCA
Saint Martin,South/Latin America,Global South,MAF
Saint Vincent and the Grenadines,South/Latin America,Global South,VCT
Samoa,Asia & Pacific,Global South,WSM
Sao Tome and Principe,Africa,Global South,STP
Saudi Arabia,Arab States,Global South,SAU
Senegal,Africa,Global South,SEN
Seychelles,Africa,Global South,SYC
Sierra Leone,Africa,Global South,SLE
Solomon Islands,Asia & Pacific,Global South,SLB
Somalia,Arab States,Global South,SOM
South Africa,Africa,Global South,ZAF
South Georgia and the South Sandwich Islands,South/Latin America,Global South,SGS
South Sudan,Africa,Global South,SSD
Sri Lanka,Asia & Pacific,Global South,LKA
Sudan,Arab States,Global South,SDN
Suriname,South/Latin America,Global South,SUR
Swaziland,Africa,Global South,SWZ
Syrian Arab Republic,Asia & Pacific,Global South,SYR
Tajikistan,Asia & Pacific,Global South,TJK
"Tanzania, United Republic of",Africa,Global South,TZA
Thailand,Asia & Pacific,Global South,THA
Timor-Leste,Asia & Pacific,Global South,
Togo,Africa,Global South,TGO
Tokelau,Asia & Pacific,Global South,TKL
Tonga,Asia & Pacific,Global South,TON
Trinidad and Tobago,South/Latin America,Global South,TTO
Tunisia,Arab States,Global South,TUN
Turkmenistan,Asia & Pacific,Global South,TKM
Turks and Caicos Islands,South/Latin America,Global South,TCA
Tuvalu,Asia & Pacific,Global South,TUV
Uganda,Africa,Global South,UGA
Ukraine,Europe,Global South,UKR
United Arab Emirates,Arab States,Global South,ARE
United States Minor Outlying Islands,Asia & Pacific,Global South,UMI
Uruguay,South/Latin America,Global South,URY
Uzbekistan,Asia & Pacific,Global South,UZB
Vanuatu,Asia & Pacific,Global South,VUT
