country,region,global_south,gadm_name,geofabrik_name,geofabrik_region
Afghanistan,Asia & Pacific,Global South,AFG,afghanistan,asia
Algeria,Arab States,Global South,DZA,algeria,africa
American Samoa,Asia & Pacific,Global South,ASM,american-samoa,asia
Angola,Africa,Global South,AGO,angola,africa
Anguilla,South/Latin America,Global South,AIA,anguilla,south-america
Antarctica,Asia & Pacific,Global South,ATA,antarctica,antarctica
Antigua and Barbuda,South/Latin America,Global South,ATG,antigua-and-barbuda,south-america
Argentina,South/Latin America,Global South,ARG,argentina,south-america
Armenia,Europe,Global South,ARM,armenia,asia
Aruba,South/Latin America,Global South,ABW,aruba,south-america
Azerbaijan,Asia & Pacific,Global South,AZE,azerbaijan,asia
Bahamas,South/Latin America,Global South,BHS,bahamas,south-america
Bahrain,Arab States,Global South,BHR,bahrain,asia
Bangladesh,Asia & Pacific,Global South,BGD,bangladesh,asia
Barbados,South/Latin America,Global South,BRB,barbados,south-america
Belarus,Europe,Global South,BLR,belarus,europe
Belize,South/Latin America,Global South,BLZ,belize,central-america
Benin,Africa,Global South,BEN,benin,africa
Bhutan,Asia & Pacific,Global South,BTN,bhutan,asia
Bolivia,South/Latin America,Global South,BOL,bolivia,south-america
Botswana,Africa,Global South,BWA,botswana,africa
Bouvet Island,South/Latin America,Global South,BVT,bouvet-island,south-america
Brazil,South/Latin America,Global South,BRA,brazil,south-america
British Indian Ocean Territory,Asia & Pacific,Global South,IOT,british-indian-ocean-territory,asia
Brunei Darussalam,Asia & Pacific,Global South,BRN,malaysia-singapore-brunei,asia
Burkina Faso,Africa,Global South,BFA,burkina-faso,africa
Burundi,Africa,Global South,BDI,burundi,africa
Cambodia,Asia & Pacific,Global South,KHM,cambodia,asia
Cameroon,Africa,Global South,CMR,cameroon,africa
Cape Verde,Africa,Global South,CPV,cape-verde,africa
Cayman Islands,South/Latin America,Global South,CYM,cayman-islands,south-america
Central African Republic,Africa,Global South,CAF,central-african-republic,africa
Chad,Africa,Global South,TCD,chad,africa
Chile,South/Latin America,Global South,CHL,chile,south-america
China,Asia & Pacific,Global South,CHN,china,asia
Christmas Island,Asia & Pacific,Global South,CXR,christmas-island,asia
Cocos (Keeling) Islands,Asia & Pacific,Global South,CCK,cocos-(keeling)-islands,asia
Colombia,South/Latin America,Global South,COL,colombia,south-america
Comoros,Arab States,Global South,COM,comoros,asia
Congo,Africa,Global South,COG,congo-brazzaville,africa
"Congo, The Democratic Republic of the",Africa,Global South,COD,congo-democratic-republic,africa
Cook Islands,Asia & Pacific,Global South,COK,cook-islands,asia
Costa Rica,South/Latin America,Global South,CRI,costa-rica,central-america
Côte D'Ivoire,Africa,Global South,CIV,ivory-coast,africa
Cuba,South/Latin America,Global South,CUB,cuba,central-america
Djibouti,Arab States,Global South,DJI,djibouti,africa
Dominica,South/Latin America,Global South,DMA,dominica,south-america
Dominican Republic,South/Latin America,Global South,DOM,haiti-and-domrep,central-america
Ecuador,South/Latin America,Global South,ECU,ecuador,south-america
Egypt,Arab States,Global South,EGY,egypt,africa
El Salvador,South/Latin America,Global South,SLV,el-salvador,south-america
Equatorial Guinea,Africa,Global South,GNQ,equatorial-guinea,africa
Eritrea,Africa,Global South,ERI,eritrea,africa
Ethiopia,Africa,Global South,ETH,ethiopia,africa
Falkland Islands (Malvinas),South/Latin America,Global South,FLK,falkland-islands-(malvinas),south-america
Fiji,Asia & Pacific,Global South,FJI,fiji,australia-oceania
French Guiana,South/Latin America,Global South,GUF,french-guiana,south-america
French Polynesia,Asia & Pacific,Global South,PYF,french-polynesia,asia
French Southern Territories,Asia & Pacific,Global South,ATF,french-southern-territories,asia
Gabon,Africa,Global South,GAB,gabon,africa
Gambia,Africa,Global South,GMB,senegal-and-gambia,africa
Georgia,Europe,Global South,GEO,georgia,europe
Ghana,Africa,Global South,GHA,ghana,africa
Grenada,South/Latin America,Global South,GRD,grenada,south-america
Guadeloupe,South/Latin America,Global South,GLP,guadeloupe,south-america
Guam,Asia & Pacific,Global South,GUM,guam,asia
Guatemala,South/Latin America,Global South,GTM,guatemala,central-america
Guinea,Africa,Global South,GIN,guinea,africa
